id,nombreCientifico,kingdom,phylum,clase,orden,family,genus,specificEpithet,rango,autor,nombreComun
urn:lsid:organismnames.com:name:4438410,Agalychnis lemur,Animalia,Chordata,Amphibia,Anura,Hylidae,Agalychnis,lemur,Especie,"(Boulenger, 1882)",
urn:lsid:organismnames.com:name:5105429,Agalychnis terranova,Animalia,Chordata,Amphibia,Anura,Hylidae,Agalychnis,terranova,Especie,"Rivera, Duarte, Rueda & Daza, 2013",
urn:lsid:catalogueoflife.org:taxon:d1ce9546-2dc5-11e0-98c6-2ce70255a436:col20120124,Agamia agami,Animalia,Chordata,Aves,Ciconiiformes,Ardeidae,Agamia,agami,Especie,"(J. F. Gmelin, 1789)",Garza Agamí
urn:lsid:catalogueoflife.org:taxon:eff50e1e-29c1-102b-9a4a-00304854f820:col20120124,Aglaeactis cupripennis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Aglaeactis,cupripennis,Especie,"(Bourcier, 1843)",
urn:lsid:catalogueoflife.org:taxon:eca8b828-29c1-102b-9a4a-00304854f820:col20120124,Aglaiocercus coelestis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Aglaiocercus,coelestis,Especie,"(Gould, 1861)",
urn:lsid:catalogueoflife.org:taxon:f34786a0-29c1-102b-9a4a-00304854f820:col20120124,Akodon affinis,Animalia,Chordata,Mammalia,Rodentia,Muridae,Akodon,affinis,Especie,"(J.A. Allen, 1912)*",
urn:lsid:catalogueoflife.org:taxon:25559fba-60a7-102d-be47-00304854f810:col20120124,Allobates cepedai,Animalia,Chordata,Amphibia,Anura,Aromobatidae,Allobates,cepedai,Especie,"(Morales, 2002 2000)",
urn:lsid:organismnames.com:name:4905144,Allobates ignotus,Animalia,Chordata,Amphibia,Anura,Aromobatidae,Allobates,ignotus,Especie,"(Anganoy, 2012)",
urn:lsid:catalogueoflife.org:taxon:2555c026-60a7-102d-be47-00304854f810:col20120124,Allobates juanii,Animalia,Chordata,Amphibia,Anura,Aromobatidae,Allobates,juanii,Especie,"(Morales, 1994)",
urn:lsid:catalogueoflife.org:taxon:2555dd04-60a7-102d-be47-00304854f810:col20120124,Allobates niputidea,Animalia,Chordata,Amphibia,Anura,Aromobatidae,Allobates,niputidea,Especie,"Grant, Acosta & Rada, 2007",
urn:lsid:organismnames.com:name:4405902,Allobates paleovarzensis,Animalia,Chordata,Amphibia,Anura,Aromobatidae,Allobates,paleovarzensis,Especie,"Lima, Caldwell, Biavati & Montanarin, 2010",
urn:lsid:catalogueoflife.org:taxon:d25a446f-2dc5-11e0-98c6-2ce70255a436:col20120124,Allobates picachos,Animalia,Chordata,Amphibia,Anura,Aromobatidae,Allobates,picachos,Especie,"(Ardila-Robayo, Acosta-Galvis & Coloma, 2000)",
